RegionName,County_State,CountyName,StateFullName,Lat,Long,2010,2011,2012,2013,2014,2015,2016,2017
Fairfield,"Fairfield, CT",Fairfield,Connecticut,41.165097,-73.129186,6742.333333,8057.583333,7274.25,5997.333333,6259.833333,6393.166667,6371.666667,6180.083333
Pinellas,"Pinellas, FL",Pinellas,Florida,27.775654,-82.64092,12489.83333,11960.16667,8684.333333,7404,7619.25,7042.583333,6555.583333,5233.833333
Bergen,"Bergen, NJ",Bergen,New Jersey,40.820541,-73.98782,3934,4210.833333,3590.25,3117.083333,3658.916667,4701.25,4564.916667,3826.75
Wake,"Wake, NC",Wake,North Carolina,35.748012,-78.834012,9178.083333,8707.166667,5788,4636.75,4381.166667,3748.833333,3240.083333,3187.833333
Hartford,"Hartford, CT",Hartford,Connecticut,41.757944,-72.728272,4737.833333,5581.416667,5644.75,4853.333333,5261.583333,5061.75,4174,3649
Duval,"Duval, FL",Duval,Florida,30.337538,-81.768622,8781.333333,7547.5,4667.416667,3942,4735.583333,4663.916667,3888.166667,3725.583333
Prince Georges,"Prince Georges, MD",Prince Georges,Maryland,38.666071,-76.998396,4339.833333,5028.5,2849.583333,1458.25,1683.666667,1843.25,1726.333333,1726.166667
New Haven,"New Haven, CT",New Haven,Connecticut,41.342514,-73.070301,5579.916667,6258,6249.5,5317.916667,5760,5522.5,4721.583333,4105
Kern,"Kern, CA",Kern,California,35.311064,-118.659604,3257.416667,3449,1799.166667,1487.666667,2038.333333,2193.166667,2517.666667,1968.333333
Ventura,"Ventura, CA",Ventura,California,34.032383,-119.1343,3313.333333,3444.833333,1956.5,1781.25,2143.083333,1923.583333,1790.333333,1334.5
Middlesex,"Middlesex, NJ",Middlesex,New Jersey,40.582845,-74.27524,5347.5,5799,4630.166667,3560.166667,3554.5,4180.916667,3939,3216.583333
Gwinnett,"Gwinnett, GA",Gwinnett,Georgia,33.960353,-84.037859,8425,8525.333333,5181.833333,2624.083333,3241.666667,4096.75,3514.75,3059.333333
Baltimore,"Baltimore, MD",Baltimore,Maryland,39.496406,-76.486624,4056.583333,4140.5,3018.166667,2369.833333,2851,3146.583333,2887.166667,2414.25
El Paso,"El Paso, TX",El Paso,Texas,31.725097,-106.359795,4130.666667,3590.75,3579.583333,3729.833333,4001.583333,4157.166667,3631.916667,3621
Montgomery,"Montgomery, PA",Montgomery,Pennsylvania,40.382488,-75.51541,5372.916667,6068.083333,4634.833333,3950.25,3988.083333,3961.916667,3404.75,2756.333333
Worcester,"Worcester, MA",Worcester,Massachusetts,42.32916,-72.139465,5049.083333,5561.5,4879.25,3692.583333,3633.25,3427.666667,2613.666667,2075.75
Pierce,"Pierce, WA",Pierce,Washington,47.156263,-122.706706,5683.583333,5657.416667,3655.416667,3093.333333,3572.916667,3028.083333,2483.333333,1994.916667
